NUMERO,ARCHIVO_PDF,RFC,NOMBRE_CONTRIBUYENTE,TIPO_PERSONA,CURP,REGIMEN_FISCAL,CODIGO_REGIMEN,SECTOR,ESTADO,MUNICIPIO,COLONIA,CALLE,NUMERO_EXTERIOR,NUMERO_INTERIOR,CODIGO_POSTAL,CORREO_ELECTRONICO,FECHA_INICIO_OPERACIONES,AÑOS_OPERANDO,ESTATUS,FECHA_GENERACION
1,CSF_01_TAS180523KL8.pdf,TAS180523KL8,TECNOLOGÍA AVANZADA DEL SURESTE SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Tecnología,Yucatán,Mérida,Montejo,Paseo de Montejo,485,Piso 3,97000,contacto@tecnologiasureste.com.mx,2018-05-23,7,ACTIVO,2025-10-29 09:52:46
2,CSF_02_HESM850614J39.pdf,HESM850614J39,MARÍA GUADALUPE HERNÁNDEZ SÁNCHEZ,Persona Física,HESM850614MDFRNR09,612 - Personas Físicas con Actividades Empresariales y Profesionales,612,Servicios Profesionales,Jalisco,Guadalajara,Americana,Avenida Américas,1234,,44160,mhernandez@consultora.mx,2010-03-15,15,ACTIVO,2025-10-29 09:52:46
3,CSF_03_CAN200815RT6.pdf,CAN200815RT6,COMERCIALIZADORA DE ALIMENTOS DEL NORTE SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Alimentos,Nuevo León,Monterrey,San Pedro,Avenida Gómez Morín,2450,Suite 100,66260,ventas@alimentosnorte.mx,2020-08-15,5,ACTIVO,2025-10-29 09:52:46
4,CSF_04_GALR920327HG5.pdf,GALR920327HG5,JOSÉ ROBERTO GARCÍA LÓPEZ,Persona Física,GALR920327HDFRPS06,626 - Régimen Simplificado de Confianza,626,Servicios,Ciudad de México,Benito Juárez,Del Valle,Eje 7 Sur,678,Int 4,03100,jrgarcia@servicios.com,2022-01-01,3,ACTIVO,2025-10-29 09:52:46
5,CSF_05_CIB150309MN2.pdf,CIB150309MN2,CONSTRUCTORA INDUSTRIAL BAJÍO SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Construcción,Guanajuato,León,Industrial,Boulevard Aeropuerto,3890,,37290,administracion@cibajio.mx,2015-03-09,10,ACTIVO,2025-10-29 09:52:46
6,CSF_06_MARA881205QT7.pdf,MARA881205QT7,ANA PATRICIA MARTÍNEZ RODRÍGUEZ,Persona Física,MARA881205MSLRDN02,605 - Sueldos y Salarios e Ingresos Asimilados a Salarios,605,Empleado,Puebla,Puebla,Angelópolis,Avenida Atlixcáyotl,5600,Depto 302,72830,anamartinez@email.com,2015-06-01,10,ACTIVO,2025-10-29 09:52:46
7,CSF_07_SLP190722BC4.pdf,SLP190722BC4,SERVICIOS LOGÍSTICOS DEL PACÍFICO SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Logística,Sinaloa,Culiacán,Desarrollo Urbano Tres Ríos,Boulevard Emiliano Zapata,1500,,80020,operaciones@logisticapacifico.mx,2019-07-22,6,ACTIVO,2025-10-29 09:52:46
8,CSF_08_RAFC900518KP9.pdf,RAFC900518KP9,CARLOS EDUARDO RAMÍREZ FERNÁNDEZ,Persona Física,RAFC900518HQTMRR04,612 - Personas Físicas con Actividades Empresariales y Profesionales,612,Servicios Profesionales,Querétaro,Querétaro,Centro Sur,Avenida Constituyentes,89,Local 5,76090,cramirez.arquitecto@gmail.com,2016-08-10,9,ACTIVO,2025-10-29 09:52:46
9,CSF_09_DIC170411XY8.pdf,DIC170411XY8,DESARROLLOS INMOBILIARIOS CANCÚN SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Inmobiliario,Quintana Roo,Benito Juárez,Supermanzana 15,Avenida Tulum,245,Oficina 12,77500,info@inmobiliariacancun.com.mx,2017-04-11,8,ACTIVO,2025-10-29 09:52:46
10,CSF_10_TOML870923FM2.pdf,TOML870923FM2,LAURA ISABEL TORRES MENDOZA,Persona Física,TOML870923MCSRND08,621 - Incorporación Fiscal,621,Servicios Profesionales,Veracruz,Xalapa,Rafael Lucio,Calle Úrsulo Galván,34,,91110,lauratorres.asesoria@hotmail.com,2018-09-01,7,ACTIVO,2025-10-29 09:52:46
11,CSF_11_MTO140627GH3.pdf,MTO140627GH3,MANUFACTURAS TEXTILES DE OCCIDENTE SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Textil,Jalisco,Tlaquepaque,La Guadalupana,Carretera a Chapala,6700,,45588,compras@textiloccidente.mx,2014-06-27,11,ACTIVO,2025-10-29 09:52:46
12,CSF_12_LOCF830712MK6.pdf,LOCF830712MK6,FERNANDO JAVIER LÓPEZ CASTILLO,Persona Física,LOCF830712HSLPSR03,626 - Régimen Simplificado de Confianza,626,Servicios Contables,San Luis Potosí,San Luis Potosí,Tangamanga,Avenida Venustiano Carranza,2315,,78269,flopez@servicioscontables.mx,2022-01-01,3,ACTIVO,2025-10-29 09:52:46
13,CSF_13_EAS160105PL9.pdf,EAS160105PL9,EXPORTADORA AGRÍCOLA DE SONORA SA DE CV,Persona Moral,,601 - General de Ley Personas Morales,601,Agricultura,Sonora,Hermosillo,San Benito,Boulevard Luis Encinas,890,,83190,exportaciones@agricolasonora.mx,2016-01-05,9,ACTIVO,2025-10-29 09:52:46
